userId,movieId,rating,timestamp
1,16,4,1217897793
1,24,1.5,1217895807
1,32,4,1217896246
1,47,4,1217896556
1,50,4,1217896523
1,110,4,1217896150
1,150,3,1217895940
1,161,4,1217897864
1,165,3,1217897135
1,204,0.5,1217895786
1,223,4,1217897795
1,256,0.5,1217895764
1,260,4.5,1217895864
1,261,1.5,1217895750
1,277,0.5,1217895772
1,296,4,1217896125
1,318,4,1217895860
1,349,4.5,1217897058
1,356,3,1217896231
1,377,2.5,1217896373
1,380,3,1217896030
1,457,4,1217896015
1,480,3.5,1217895972
1,527,4.5,1217896341
1,589,3.5,1217896078
1,590,3.5,1217896038
1,592,2.5,1217896043
1,593,5,1217895932
1,597,3,1217897176
1,608,3.5,1217896319
1,648,3.5,1217896397
1,719,0.5,1217895799
1,724,3.5,1217895794
1,736,3,1217896621
1,780,3.5,1217895969
1,858,5,1217896428
1,912,5,1217897623
1,968,4.5,1217897263
1,1061,4,1217895811
1,1089,4.5,1217897621
1,1136,5,1217897630
1,1196,4.5,1217896095
1,1198,4,1217896450
1,1210,4.5,1217895912
1,1213,5,1217897617
1,1220,4,1217897823
1,1221,5,1217897613
1,1222,5,1217897625
1,1233,4.5,1217897648
1,1243,3.5,1217897427
1,1258,4.5,1217897678
1,1265,3,1217897107
1,1267,4,1217895768
1,1270,3,1217897006
1,1287,4.5,1217897783
1,1580,3.5,1217896279
1,1617,3.5,1217896636
1,1721,1.5,1217896210
1,1923,1.5,1217897087
1,1961,3,1217897157
2,1,5,859046895
2,3,2,859046959
2,5,3,859046959
2,14,4,859047091
2,17,5,859046896
2,25,3,859046896
2,32,3,859046895
2,36,5,859046959
2,52,4,859047004
2,58,4,859047004
2,62,5,859046896
2,79,4,859047091
2,95,4,859046895
2,112,3,859047004
2,260,4,859047004
2,376,4,859047004
2,494,4,859046959
2,608,5,859046959
2,637,3,859047091
2,648,4,859046895
2,661,4,859047091
2,736,4,859046895
2,780,4,859046895
2,784,2,859047004
2,788,4,859047004
2,802,4,859047091
2,805,5,859047091
2,1073,4,859046959
2,1356,4,859047091
3,5,3,841483936
3,7,3,841484087
3,11,4,841483689
3,21,5,841483620
3,34,5,841483604
3,36,4,841483842
3,39,4,841483634
